0.6350	0.3321
0.0208	0.0133
0.0014	0.0008
0.6353	0.3329
0.7007	0.3921
0.0455	0.0231
0.6751	-1.4797
1.5141	-1.0002
0.0197	0.0110
0.7883	0.1555
0.0009	-0.0002
1.5014	-0.8730
0.6949	0.3863
0.0051	0.0046
0.0281	0.0125
0.0211	-0.0153
0.1048	0.0586
0.0660	0.0500
1.5106	0.6344
1.5014	-0.8730
1.5001	0.5433
1.5001	0.5433
0.0042	-0.0007
0.6314	0.3326
0.0047	0.0019
0.0270	0.0141
0.0016	0.0009
0.0024	-0.0004
0.0006	0.0003
1.6746	1.0166
0.6384	0.3387
0.6350	0.3320
0.0155	0.0091
1.4705	0.8419
0.0021	0.0013
1.6071	0.8896
0.2250	0.1905
0.0004	-0.0004
0.0073	0.0040
0.0010	-0.0008
0.8546	-0.1795
1.5380	1.0223
0.0268	-0.0466
0.6688	0.3630
0.0319	0.0185
1.2915	0.6896
0.0010	0.0007
0.0000	-0.0000
0.0052	0.0021
0.0067	-0.0008
0.0269	0.0122
0.0094	0.0049
0.0011	0.0008
0.0130	0.0038
1.7209	0.4862
1.7209	0.4862
0.0299	-0.0583
0.8953	-0.1269
2.0442	1.1358
0.0089	0.0073
0.0904	-0.1764
2.0442	1.1358
0.0297	0.0152
0.5834	-0.1116
0.0015	0.0003
0.1216	0.0609
1.2668	0.4030
0.6885	0.3785
0.0001	0.0000
0.0162	0.0121
0.2166	0.1819
0.0204	0.0095
0.0047	0.0039
0.0036	-0.0011
0.0150	0.0041
0.0117	0.0074
0.0034	0.0020
0.0163	0.0146
0.0163	0.0146
0.0224	0.0236
0.2286	0.2010
0.0118	0.0090
0.2092	0.1785
1.2438	0.2283
0.0518	-0.0565
0.0021	0.0016
0.0126	0.0077
0.0072	-0.0009
0.0245	0.0170
0.6964	0.3885
0.0045	0.0026
0.0056	0.0041
0.6311	0.3321
1.3920	-1.0304
0.0137	0.0070
0.0232	0.0209
0.0044	0.0034
0.0062	0.0059
0.0000	0.0001
1.4246	0.3595
0.0093	0.0054
0.0016	0.0009
0.0095	0.0055
0.0163	-0.0028
0.6552	0.3407
0.0020	0.0022
0.3950	-0.0280
0.0007	0.0005
0.0005	-0.0002
-0.0000	0.0000
0.0038	-0.0002
0.0090	0.0065
0.0197	0.0087
1.3302	0.7237
0.0157	0.0105
0.0450	0.0227
0.2185	0.1830
0.6663	0.3628
0.0186	0.0074
0.0046	0.0040
0.0676	0.0248
0.6362	0.3340
1.7047	0.7206
1.7047	0.7206
0.8958	-0.1943
0.0063	0.0051
0.6387	0.3382
0.1536	0.0747
0.0360	-0.0615
0.3332	0.1587
1.0854	0.2842
0.0072	0.0051
0.0016	0.0012
0.7818	0.3846
0.8961	0.5393
1.9823	0.5980
0.0453	-0.0609
0.7678	0.3778
0.0484	0.0281
0.4651	-0.3243
0.6476	0.3378
0.4543	-0.3386
0.6581	0.3459
0.0116	0.0026
0.0118	0.0086
0.0237	0.0120
1.2252	0.2234
0.7003	0.3857
1.4199	0.7160
1.3866	-0.5589
0.0135	0.0098
0.3236	0.1552
1.3947	-1.0410
0.1013	0.0438
0.0175	0.0040
0.0109	0.0040
1.3544	0.2633
0.0028	0.0021
0.0049	0.0031
0.6276	0.3297
0.6550	-1.5442
0.8476	-0.1236
0.8680	-0.1632
0.3741	0.2492
0.0162	0.0068
0.7147	0.1552
0.0005	0.0005
0.7634	0.3762
